ID,ra,dec,istar,gmag,rmag,imag,zmag,W1,W2,psfgmag,psfrmag,psfimag,W3,W3err,J,Jerr,H,Herr,K,Kerr,umag,zs
1237657191979811201,2.00719259255885,0.770383366374361,-52.13531,21.16316,20.53175,19.96952,19.68475,16.006,14.97,21.17462,20.52781,19.97139,11.817,9999,9999,9999,9999,9999,9999,9999,21.61008,1.919505
1237657192515960999,0.330703471709683,1.09021589277319,-0.000834485,20.89199,21.01082,21.39139,20.59864,14.997,14.645,20.92812,21.01746,21.41456,12.262,9999,9999,9999,9999,9999,9999,9999,21.74295,2.29554
1237657192518975695,7.1585711326976,1.17890248177356,-0.02766998,21.09056,20.99109,20.95556,20.71451,16.974,15.187,21.17564,21.09386,21.0325,12.289,9999,9999,9999,9999,9999,9999,9999,21.10928,1.299279
1237657192519696643,8.85869266647217,1.11445717098216,-0.8978242,20.55922,19.94833,19.59669,19.26189,16.17,14.693,20.57163,19.9614,19.60313,11.533,0.207,9999,9999,9999,9999,9999,9999,21.2407,1.949472
1237657192519827581,9.16759217522531,1.14676197208763,-1.971037,20.15565,20.04838,19.79051,19.83043,16.478,15.177,20.17814,20.04224,19.7821,12.514,0.534,9999,9999,9999,9999,9999,9999,20.33226,1.602051
1237657192519893182,9.33268762662021,1.18737871153551,-112.521,18.93476,18.50251,18.22545,17.83018,13.498,12.397,19.04008,18.64013,18.36323,9.937,0.052,16.778,0.165,16.017,0.219,15.192,0.156,19.83912,0.4011079
1237659931069317672,5.51512122473764,35.7709253151075,-0.02838021,21.0367,20.84318,20.7933,20.28132,16.42,15.521,21.09306,20.92294,20.89805,13.043,9999,9999,9999,9999,9999,9999,9999,21.45434,0.8929607
1237659931069514610,6.03174778412546,36.1378718334911,-1.501089,20.38813,20.16425,20.2175,20.06403,16.796,15.995,20.40293,20.19151,20.24537,12.906,9999,9999,9999,9999,9999,9999,9999,20.36266,0.9852516
1237659934827610728,6.49233478341432,35.7244640160244,-1.376216,20.63647,20.29203,19.89794,19.48854,16.233,15.183,20.66096,20.31733,19.93722,11.372,0.123,9999,9999,9999,9999,9999,9999,21.3189,2.107201
1237663204917313798,7.16350526180486,0.684182906536824,-0.2819184,19.87618,19.77083,19.70996,19.33975,16.213,15.335,19.8747,19.77816,19.70697,11.357,0.154,9999,9999,9999,9999,9999,9999,20.79633,2.495008
1237663204917510362,7.64827206356355,0.63281323852794,-0.8813194,21.52871,20.95193,20.95377,20.8868,17.056,15.728,21.57343,21.02756,21.05242,12.262,9999,9999,9999,9999,9999,9999,9999,21.86259,1.35387
1237663204917575925,7.74872194458268,0.672204209157965,-0.6660032,21.25701,21.21768,20.86263,20.25488,16.218,15.593,21.31956,21.30626,20.91178,12.097,9999,9999,9999,9999,9999,9999,9999,21.68906,0.6715148
1237663204918296823,9.50636373615049,0.673465810785688,-0.1389368,21.79999,20.92858,20.38736,20.07636,15.323,13.935,21.81122,20.93409,20.39605,10.893,0.107,9999,9999,9999,9999,9999,9999,22.22024,1.160866
1237663204918755568,10.4740469164126,0.713070459181927,-0.1877527,21.04221,20.9226,20.48645,20.47756,16.767,15.07,21.1007,21.01336,20.56952,11.774,9999,9999,9999,9999,9999,9999,9999,21.11807,1.754054
1237663204919017775,11.1483213894251,0.660977644215008,-0.1685332,21.11974,20.76243,20.8118,21.21258,17.144,16.024,21.15478,20.83935,20.89348,11.468,9999,9999,9999,9999,9999,9999,9999,21.34818,1.037071
1237663204919935244,13.1291055794429,0.804484518692684,-92.92838,20.02625,19.46234,19.17644,18.77469,15.371,14.638,20.48202,20.12235,19.85141,11.707,0.329,9999,9999,9999,9999,9999,9999,20.1837,0.3480761
1237663204923474052,21.3239589657924,0.632253153796046,-0.01918459,20.04705,19.9777,19.97625,19.72186,15.695,14.715,20.04621,19.98474,19.97581,12.103,0.252,9999,9999,9999,9999,9999,9999,20.42576,0.8081724
1237663234451964309,0.305849429934369,29.495836135271,-5.518082,20.11711,19.88231,19.95765,19.69524,15.466,14.464,20.14408,19.9024,19.97958,11.699,0.191,9999,9999,9999,9999,9999,9999,20.36286,0.9832489
1237663234451964317,0.359724490544522,29.5015999262013,-1.319136,20.15864,19.90691,20.04008,19.93505,15.876,14.83,20.16659,19.89329,20.03348,12.412,0.372,9999,9999,9999,9999,9999,9999,20.43484,1.006854
1237663234452161019,0.40315519279909,29.180849830127,-5.335761,20.80144,20.82807,20.55722,20.39628,17.021,15.585,20.81198,20.8376,20.55103,12.095,9999,9999,9999,9999,9999,9999,9999,21.00827,1.654922
1237663234986083069,359.123094306901,35.8089687018715,-0.9673631,22.3267,21.94424,21.65504,21.27748,16.761,15.598,22.38007,22.02118,21.73698,12.941,9999,9999,9999,9999,9999,9999,9999,22.43034,1.184832
1237663234986083090,359.239430953088,35.8092901019138,-1.195831,22.0276,21.58413,21.4378,20.99729,16.369,15.662,22.10193,21.67565,21.52384,12.998,9999,9999,9999,9999,9999,9999,9999,22.34729,1.140124
1237663235522953693,359.537162118849,35.8870485423171,-0.07723933,19.88981,19.65281,19.49068,19.20137,16.496,15.467,19.91965,19.65709,19.48395,11.682,0.173,9999,9999,9999,9999,9999,9999,20.25892,2.209014
1237663277928546660,1.81425618650783,0.574055209785938,-0.7896726,21.40838,21.39046,21.24563,20.75483,17.021,16.15,21.40917,21.38224,21.27229,12.437,9999,9999,9999,9999,9999,9999,9999,21.55013,1.032603
