ID,ra,dec,istar,gmag,rmag,imag,zmag,W1,W2,psfgmag,psfrmag,psfimag,W3,W3err,J,Jerr,H,Herr,K,Kerr,umag,zs
1237672794497089659,1.55721437777709,-6.6072075694659,-6.561425,18.20421,17.51246,17.23549,17.08438,15.242,15.493,18.19782,17.50304,17.24154,12.625,9999,16.195,0.09,15.707,0.131,15.546,0.222,19.81058,-0.0004584421
1237653651838992651,9.4820614324459,14.8613012189903,-1.865047,21.28724,19.72593,18.38822,17.69124,15.197,15.195,21.26518,19.72871,18.3876,12.463,9999,16.317,0.101,15.737,0.149,15.36,0.161,23.29273,2.991697E-05
1237653652375863426,9.49914976955102,15.3705453141415,-1.293058,18.07164,17.3468,17.05234,16.91559,15.25,15.35,18.07556,17.3452,17.05432,12.655,9999,15.938,0.085,15.249,0.102,15.431,0.188,19.68402,-1.031294E-05
1237653652376649824,11.3593432982379,15.2977734557462,-17.20847,17.39199,16.90935,16.74554,16.68037,15.185,15.255,17.40104,16.89613,16.73822,12.037,9999,15.865,0.075,15.503,0.116,15.562,0.15,18.5819,-0.0003996347
1237653652911358047,6.21169932835244,15.8199962229713,-1.172203,18.47961,18.1692,17.84026,17.77954,16.675,15.854,18.48181,18.11486,17.84161,11.381,9999,16.767,0.151,17.084,9999,17.212,9999,19.57991,-0.0004981011
1237653652912013430,7.78293146214685,15.7812541214992,-0.4445531,18.46236,17.91584,17.70075,17.60519,16.443,16.02,18.47541,17.92196,17.70475,12.609,9999,16.576,0.148,16.289,9999,15.825,0.239,19.87031,-0.0002158913
1237653653449277614,8.82814638185351,16.0574268265444,-45.67091,16.98485,15.76705,15.27264,14.99319,12.931,12.969,16.97256,15.76141,15.28139,12.707,9999,13.83,0.024,13.185,0.026,13.037,0.031,19.63459,5.566067E-05
1237656495114223817,1.35252148848957,14.60925873205,-47.50005,22.65222,20.56969,19.06477,18.37717,13.905,13.714,23.50778,21.62157,20.04878,12.021,9999,15.854,0.1,15.145,0.098,14.553,0.096,24.01698,-0.0002914113
1237656495117107313,8.19348732689326,14.5899730699766,-230.6037,16.29184,15.33878,14.93858,14.80279,12.957,12.977,16.28923,15.34506,14.97351,11.663,0.236,13.722,0.032,13.221,0.039,13.009,0.027,18.52033,-5.365923E-06
1237656496727588878,7.81704683567011,15.8753263440502,-0.3598383,17.63311,17.15635,16.9585,16.84071,15.468,15.732,17.63808,17.15704,16.9501,12.674,9999,15.969,0.084,15.682,0.167,15.67,0.212,18.6847,-0.0005754343
1237656971300634766,9.80260610366815,-0.60613074761004,-19.032,18.34055,17.59324,17.33039,17.19163,15.634,15.611,18.34756,17.61153,17.33603,12.201,0.369,16.291,0.079,15.782,0.095,15.72,0.225,20.25153,-0.0002076009
