ID,ra,dec,istar,gmag,rmag,imag,zmag,W1,W2,psfgmag,psfrmag,psfimag,W3,W3err,J,Jerr,H,Herr,K,Kerr,umag,zs
1237652629098856611,0.680338963151385,-10.7209159687779,-10854.06,17.23869,16.3433,15.92578,15.581,13.633,13.594,18.61316,17.8069,17.4737,12.302,9999,15.542,0.088,14.815,0.087,14.391,0.101,19.2064,0.07648426
1237652629098856621,0.714092329222296,-10.6381048799534,-11517.68,17.22635,16.61893,16.24504,16.02412,13.95,13.727,19.105,18.48575,18.24766,9.954,0.05,16.178,0.129,15.733,0.183,14.843,0.144,18.55251,0.07738392
1237652629098856667,0.6404317270148,-10.7655000949172,-23.03209,23.22696,21.12135,20.15936,19.67754,16.158,16.116,23.60724,21.39742,20.51152,12.349,9999,9999,9999,9999,9999,9999,9999,25.65157,0.5455263
1237652629098856770,0.604279676912498,-10.6598560758733,-24.06143,21.69537,20.16382,19.31687,18.66227,15.269,15.178,22.34504,20.84821,20.05997,12.27,9999,9999,9999,9999,9999,9999,9999,25.83192,0.5134546
1237652629098857042,0.618401685475831,-10.6210594298383,-8.99264,22.47318,20.38369,19.27415,18.60933,15.838,15.626,23.53996,21.82821,20.78342,12.416,9999,9999,9999,9999,9999,9999,9999,21.95639,0.6106088
1237652629098857048,0.621547848422949,-10.6853997741158,-25.06839,22.17179,20.34341,19.24966,18.89795,15.378,15.259,23.16929,21.55313,20.51952,12.135,9999,9999,9999,9999,9999,9999,9999,26.99164,0.6094751
1237652629098922295,0.721836573891565,-10.782206533084,-17.8952,21.98535,20.58336,19.63621,19.39735,15.398,15.555,22.24853,20.88332,20.03564,12.387,0.41,9999,9999,9999,9999,9999,9999,23.16774,0.5055971
1237652629098922301,0.72593513209705,-10.765051030092,-129.7968,20.93944,20.11208,19.20823,18.63466,14.934,14.863,21.99237,21.12611,20.49,11.577,0.197,9999,9999,9999,9999,9999,9999,22.5977,0.5493337
1237652629098922373,0.757985191935262,-10.7719478172548,-4.59627,21.85438,20.53847,19.48666,18.83624,15.566,15.761,22.52289,21.32799,20.25898,12.098,9999,9999,9999,9999,9999,9999,9999,25.81495,0.5578029
1237652629098922590,0.719452574709649,-10.794340053759,-78.06424,21.62243,19.88417,18.78716,18.30865,14.788,14.82,22.69906,20.93603,19.93971,12.386,9999,9999,9999,9999,9999,9999,9999,26.1324,0.5913224
1237652631246340692,0.662475240161655,-8.92145958604329,-59.6372,22.30601,20.06019,18.81362,18.28826,14.764,14.574,23.87222,21.15483,20.00668,12.618,9999,9999,9999,9999,9999,9999,9999,25.64999,0.603267
1237652899137257607,359.402115413522,-11.1400108440771,-2685.398,19.16011,17.54303,16.91448,16.6215,13.919,13.678,20.45919,18.9242,18.35353,12.39,9999,16.27,0.118,15.594,0.101,14.834,0.134,21.66517,0.3025203
1237652899137257879,359.394049272632,-11.115649209394,-734.6957,20.50976,18.42955,17.67883,17.4188,14.071,13.906,21.80517,19.90542,19.23266,12.559,9999,17.261,0.234,16.196,0.177,15.09,0.165,26.94193,0.4071035
1237652899137323065,359.555625070113,-11.0432730538272,-322.5836,20.45069,18.98198,17.63202,17.26387,12.55,12.577,20.44057,18.98128,17.67438,11.872,0.269,13.371,0.032,12.89,0.033,12.671,0.037,21.963,-9.42355E-05
1237652899137454267,359.949826803472,-11.1824945618484,-2128.789,18.66985,17.60324,17.0619,16.69217,14.416,14.213,20.0143,18.99094,18.41553,12.286,0.377,16.507,0.139,15.629,0.116,14.965,0.156,20.27708,0.184446
1237652899137519707,359.997379394083,-11.19208524142,-4231.899,18.22254,17.24542,16.79938,16.43857,14.224,14.159,19.40938,18.46385,18.0367,12.33,0.41,16.014,0.1,15.352,0.119,14.744,0.126,20.04013,0.1036336
1237652899137519722,0.0473962613427261,-11.1898440476528,-2169.837,18.69018,17.57931,17.10398,16.75294,14.331,14.263,19.57631,18.50414,18.06254,12.233,9999,16.119,0.102,15.542,0.096,14.976,0.107,20.62588,0.1499253
1237652899137585226,0.166082580295679,-11.157700471218,-22132.26,16.62665,15.79466,15.40291,15.09614,13.137,13.061,18.0132,17.21331,16.83363,12.287,0.428,14.884,0.071,14.195,0.086,13.812,0.064,18.48108,0.04584714
1237652899137585233,0.200070643620066,-11.2007475303644,-1312.282,18.45407,18.29535,17.92886,18.02549,16.026,16.157,19.53556,19.46689,19.11337,12.036,0.317,9999,9999,9999,9999,9999,9999,19.14007,0.1059666
1237652899137585244,0.228194782062374,-11.1977862931882,-3134.841,18.1247,17.33728,16.90907,16.62332,14.203,14.113,19.0373,18.27396,17.84801,10.998,0.124,16.051,0.069,15.353,0.099,14.657,0.1,19.62189,0.1191214
1237652899137585268,0.197932039136106,-11.1035207115307,-1562.686,19.54136,17.91151,17.30555,16.95804,14.117,13.872,20.64892,19.06588,18.48444,12.671,9999,16.476,0.133,15.348,0.109,14.898,0.117,21.96748,0.2966488
1237652899137585279,0.22739413396728,-11.0177253795303,-2018.329,18.90648,17.69911,17.23016,16.87006,14.369,14.009,20.09188,18.984,18.51947,12.461,0.483,16.589,0.118,15.801,0.145,14.986,0.123,20.97323,0.2497927
1237652899137650782,0.304415406613103,-11.1036219770276,-12862.63,17.12652,16.57928,16.16282,15.97034,13.078,12.46,18.45164,17.8522,17.35941,8.464,0.023,15.356,0.068,14.597,0.071,13.913,0.06,18.25963,0.1190801
1237652899137716304,0.475159959300413,-11.0315128600297,-2903.474,18.33705,17.7369,17.36334,17.15251,14.477,14.299,19.51986,19.0082,18.62647,10.508,0.077,16.587,0.156,15.813,0.161,15.338,0.199,19.45869,0.1045364
1237652899137716334,0.517753980948243,-11.0448110974568,-3327.192,18.128,17.22711,16.78596,16.41893,14.386,14.127,19.70511,18.79676,18.32058,11.149,0.141,16.373,0.114,15.576,0.12,15.143,0.18,19.53205,0.1313298
1237652899137716363,0.434286100357369,-11.206105344805,-1878.803,19.07695,17.70299,17.14877,16.82537,14.233,13.999,20.15628,18.80315,18.23107,12.299,9999,16.192,0.098,15.49,0.104,15.097,0.14,20.90814,0.2314751
1237652899137716382,0.517111371079423,-11.227261059521,-5003.275,17.90436,16.87851,16.38414,16.08064,13.935,13.677,19.83249,18.79031,18.23611,10.809,0.101,16.198,0.133,15.605,0.144,14.996,0.141,19.37076,0.1711899
1237652899137716389,0.523533319672993,-11.2105835390023,-7309.837,17.16548,16.62757,16.30565,16.1653,14.501,14.492,19.75505,19.12566,18.73804,11.024,0.116,16.87,0.18,16.109,0.216,14.629,9999,18.35053,0.05594109
1237652899137716394,0.548989892047743,-11.1248159934428,-3000.553,18.68891,17.65105,17.15176,16.82128,14.503,14.202,20.53039,19.37317,18.89466,11.727,0.223,16.897,0.165,16.107,0.181,14.798,9999,20.083,0.1979673
1237652899137781809,0.575884397841477,-11.0276501656845,-6035.674,17.65366,16.76676,16.34584,16.0612,13.575,13.402,18.44778,17.5963,17.18428,11.019,0.128,15.361,0.061,14.646,0.071,14.073,0.067,19.31911,0.1195876
1237652899137781873,0.70469865745801,-11.1263832398035,-15785.18,16.88255,16.38762,16.11204,15.89573,13.545,13.338,18.32706,17.89141,17.66827,9.579,0.04,15.757,0.107,15.012,0.134,14.577,0.113,17.87668,0.0295995
